FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,26/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","612,50","73,8","73,9",00096,"1,006",9500,1,77,9,33,39,13,18,3,8,33,1,0,0,333,0,0,0
05,003,050403,OPEN END III                  ,26/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","634,40","76,4","76,6",00096,"1,006",9500,1,44,1,21,23,5,13,12,3,29,0,0,0,240,0,0,0
05,003,050403,OPEN END III                  ,26/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","790,00","95,2","95,2",00096,"1,006",9500,2,77,15,47,32,4,17,3,5,21,0,0,0,135,0,0,0
05,003,050403,OPEN END III                  ,26/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","798,70","96,2","96,7",00096,"1,006",9500,3,82,10,50,43,7,27,17,1,19,0,0,0,179,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","790,20","95,2","95,0",00096,"1,006",9500,2,56,7,37,31,7,10,15,5,11,0,0,0,135,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","798,40","96,2","96,7",00096,"1,006",9500,0,61,11,48,43,14,20,17,2,13,1,0,0,111,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","775,70","93,5","93,5",00096,"1,006",9500,0,49,9,23,21,15,19,7,8,3,0,0,0,95,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","771,30","92,9","93,4",00096,"1,006",9500,1,26,11,34,13,6,12,13,2,27,1,0,0,250,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","702,10","84,6","84,8",00096,"1,006",9500,0,40,10,35,28,26,33,24,7,6,1,0,0,305,0,0,0
05,003,050403,OPEN END III                  ,27/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","803,80","96,9","97,3",00096,"1,006",9500,1,70,7,38,39,13,22,17,3,8,0,0,0,169,0,0,0
