FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542212,009,70195707,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,313,FIO QUEBRADO,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,010,70195708,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
