MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,YIC20949C5920,MACAO,1544004,"986,00",02/02/2026,15:11,B,"148,00","280,00","13,00","-1,60","-20,27","2,00","3,25","2,25","4,64","2,91","47,20","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544024,"994,00",02/02/2026,14:42,B,"146,00","279,00","13,00","-1,60","-18,84","1,75","2,25","1,00","5,00","2,26","47,60","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544017,"1.073,00",02/02/2026,14:11,A,"146,50","288,00","13,00","-1,80","-19,45","1,25","1,25","1,25","2,26","1,43","47,20","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544006,"1.010,00",02/02/2026,13:52,A,"147,50","291,33","13,00","-2,20","-19,66","1,00","1,00","0,00","4,36","1,36","48,00","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544021,"937,00",02/02/2026,13:21,A,"147,50","286,00","13,00","-1,60","-18,64","1,25","1,75","0,25","4,36","1,69","46,40","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544008,"991,00",02/02/2026,12:52,A,"147,50","288,00","13,00","-2,00","-19,32","1,25","1,50","-0,50","4,00","1,36","47,60","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544018,"976,00",02/02/2026,12:21,A,"147,00","282,00","13,00","-2,00","-18,71","0,75","2,25","-0,75","4,81","1,50","46,80","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544011,"995,00",02/02/2026,11:53,A,"148,00","290,00","13,00","-1,00","-18,24","1,50","1,75","-1,00","3,93","1,35","45,20","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544016,"1.034,00",02/02/2026,11:22,A,"148,00","289,33","13,00","-1,60","-18,92","0,50","0,75","-0,75","5,00","1,08","47,20","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544009,"920,00",02/02/2026,10:43,A,"148,00","286,00","13,00","-1,40","-18,92","1,25","1,25","-1,00","5,00","1,35","45,20","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544013,"1.022,00",02/02/2026,10:08,A,"148,00","284,00","13,00","-1,40","-18,92","1,25","2,00","0,50","5,00","1,96","46,00","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544012,"895,00",02/02/2026,09:30,A,"148,50","289,00","13,00","-1,20","-18,52","1,50","2,50","0,00","4,91","2,02","45,60","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,0544001,"2.060,00",02/02/2026,08:53,A,"148,50","284,00","13,00","-1,20","-18,86","1,75","1,75","-1,00","3,51","1,35","46,80","24,00",A,YIC20949C5,920,, ,01
